Id,Label,hh_size,modularity_class,hh_id,gender,role,age,degree,freq_home,freq_work,freq_school,freq_kindergarden,freq_transport,freq_leisure,freq_grandparents,freq_other,freq_betweenhh,prop_home,prop_work,prop_school,prop_kindergarden,prop_transport,prop_leisure,prop_grandparents,prop_other,diversityloc,diversityhhmember,pers_touch,tot_dur,avg_dur
1028,484500002,3,10,4845,1,child,0,6,2,0,0,0,1,0,2,3,2,0.333333,0,0,0,0.166667,0,0.333333,0.5,0.821429,0.888889,6,24,4
1029,487509,3,12,487509,1,father,20,3,2,0,0,0,0,1,0,0,2,0.666667,0,0,0,0,0.333333,0,0,0.507937,0.888889,2,13,4.333333
1030,48750900001,3,12,487509,0,mother,22,3,2,0,0,0,0,1,0,0,2,0.666667,0,0,0,0,0.333333,0,0,0.507937,0.888889,2,13,4.333333
1031,48750900002,3,10,487509,0,child,0,6,2,0,0,0,0,0,3,1,2,0.333333,0,0,0,0,0,0.5,0.166667,0.698413,0.888889,5,23,3.833333
1032,4897338,5,2,4897338,1,father,40,19,8,9,0,0,1,0,0,2,4,0.421053,0.473684,0,0,0.052632,0,0,0.105263,0.714286,0.66482,9,79,4.157895
1033,4.89734E+11,5,2,4897338,0,mother,39,18,7,11,0,0,0,0,0,0,4,0.388889,0.611111,0,0,0,0,0,0,0.54321,0.691358,13,66,3.666667
1034,4.89734E+11,5,13,4897338,1,child,15,18,7,0,9,0,2,0,0,0,4,0.388889,0,0.5,0,0.111111,0,0,0,0.670194,0.691358,16,80,4.444444
1035,4.89734E+11,5,13,4897338,0,child,9,19,7,0,12,0,0,0,0,0,4,0.368421,0,0.631579,0,0,0,0,0,0.531856,0.66482,10,77,4.052632
1036,5245145,4,9,5245145,1,father,29,13,3,0,0,0,0,5,0,5,3,0.230769,0,0,0,0,0.384615,0,0.384615,0.743872,0.710059,4,34,2.615385
1037,5.24515E+11,4,12,5245145,0,mother,31,7,3,0,0,0,0,4,0,0,3,0.428571,0,0,0,0,0.571429,0,0,0.559767,0.979592,3,22,3.142857
1038,5.24515E+11,4,10,5245145,0,child,5,5,3,0,0,0,0,0,0,2,3,0.6,0,0,0,0,0,0,0.4,0.548571,0.96,3,20,4
1039,5.24515E+11,4,7,5245145,1,child,3,8,3,0,0,0,0,0,0,5,3,0.375,0,0,0,0,0,0,0.625,0.535714,0.9375,3,23,2.875
1040,5245419,4,9,5245419,1,father,39,11,3,0,0,0,0,0,0,8,3,0.272727,0,0,0,0,0,0,0.727273,0.453365,0.793388,3,35,3.181818
1041,5.24542E+11,4,2,5245419,0,mother,41,17,3,9,0,0,1,2,0,2,3,0.176471,0.529412,0,0,0.058824,0.117647,0,0.117647,0.751359,0.581315,4,65,3.823529
1042,5.24542E+11,4,13,5245419,0,child,12,20,3,0,10,0,2,0,0,5,3,0.15,0,0.5,0,0.1,0,0,0.25,0.748571,0.51,9,72,3.6
1043,5.24542E+11,4,13,5245419,0,child,6,17,3,0,6,0,0,0,3,5,3,0.176471,0,0.352941,0,0,0,0.176471,0.294118,0.83045,0.581315,16,66,3.882353
1044,5347805,5,14,5347805,1,father,36,16,14,0,0,0,0,2,0,0,4,0.875,0,0,0,0,0.125,0,0,0.25,0.75,8,67,4.1875
1045,5.34781E+11,5,2,5347805,0,mother,42,26,4,14,0,0,1,8,0,2,4,0.153846,0.538462,0,0,0.038462,0.307692,0,0.076923,0.760999,0.52071,12,110,4.230769
1046,5.34781E+11,5,3,5347805,0,child,4,35,24,0,11,0,0,0,0,0,4,0.685714,0,0.314286,0,0,0,0,0,0.492595,0.404898,26,158,4.514286
1047,5.34781E+11,5,11,5347805,1,child,2,6,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0.888889,5,24,4
1048,5.34781E+11,5,11,5347805,1,child,0,6,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0.888889,5,25,4.166667
1049,543398,2,12,543398,0,mother,39,8,0,6,6,0,1,2,0,0,1,0,0.75,0.75,0,0.125,0.25,0,0,0.751746,0.4375,2,20,2.5
1050,54339800001,2,13,543398,0,child,4,3,1,0,1,0,1,0,0,1,1,0.333333,0,0.333333,0,0.333333,0,0,0.333333,0.857143,0.888889,3,12,4
1051,5461565,4,0,5461565,0,mother,37,16,4,0,0,0,3,13,0,3,3,0.25,0,0,0,0.1875,0.8125,0,0.1875,0.704294,0.609375,11,45,2.8125
1052,5.46157E+11,4,0,5461565,1,father,36,14,4,0,0,0,3,13,0,1,3,0.285714,0,0,0,0.214286,0.928571,0,0.071429,0.637512,0.673469,11,42,3
1053,5.46157E+11,4,7,5461565,0,child,6,10,3,0,0,0,3,0,0,10,3,0.3,0,0,0,0.3,0,0,1,0.616071,0.84,8,39,3.9
1054,5.46157E+11,4,7,5461565,0,child,1,11,3,0,0,0,3,0,2,9,3,0.272727,0,0,0,0.272727,0,0.181818,0.818182,0.735541,0.793388,10,41,3.727273
1055,5559980,4,2,5559980,0,mother,35,16,3,9,0,0,0,2,0,4,3,0.1875,0.5625,0,0,0,0.125,0,0.25,0.75485,0.609375,4,41,2.5625
1056,5.55998E+11,4,2,5559980,1,father,36,14,3,9,0,0,0,5,0,2,3,0.214286,0.642857,0,0,0,0.357143,0,0.142857,0.766126,0.673469,7,39,2.785714
1057,5.55998E+11,4,13,5559980,0,child,10,43,3,0,26,0,0,0,9,10,3,0.069767,0,0.604651,0,0,0,0.209302,0.232558,0.713294,0.2596,11,179,4.162791
1058,5.55998E+11,4,13,5559980,1,child,8,25,3,0,22,0,0,0,4,0,3,0.12,0,0.88,0,0,0,0.16,0,0.451164,0.4224,13,96,3.84
1059,5928624,4,9,5928624,1,father,35,25,3,0,0,0,12,6,0,6,3,0.12,0,0,0,0.48,0.24,0,0.24,0.790123,0.4224,6,47,1.88
1060,5.92862E+11,4,2,5928624,0,mother,35,17,3,12,2,0,2,0,0,0,3,0.176471,0.705882,0.117647,0,0.117647,0,0,0,0.633162,0.581315,5,44,2.588235
1061,5.92862E+11,4,13,5928624,1,child,4,15,3,0,13,1,3,0,0,0,3,0.2,0,0.866667,0.066667,0.2,0,0,0,0.605714,0.64,13,58,3.866667
1062,5.92862E+11,4,5,5928624,1,child,7,32,3,0,26,2,8,0,0,0,3,0.09375,0,0.8125,0.0625,0.25,0,0,0,0.577064,0.339844,23,88,2.75
1063,5956252,3,2,5956252,1,father,42,14,3,10,0,0,1,0,0,3,2,0.214286,0.714286,0,0,0.071429,0,0,0.214286,0.672269,0.489796,2,49,3.5
1064,5.95625E+11,3,9,5956252,0,mother,42,14,2,0,0,0,0,0,0,12,2,0.142857,0,0,0,0,0,0,0.857143,0.279883,0.489796,6,42,3
1065,5.95625E+11,3,13,5956252,0,child,12,25,3,0,23,0,0,0,0,0,2,0.12,0,0.92,0,0,0,0,0,0.233305,0.2944,3,116,4.64
1066,5957632,4,2,5957632,0,mother,34,11,3,6,3,0,4,0,0,3,3,0.272727,0.545455,0.272727,0,0.363636,0,0,0.272727,0.892758,0.793388,5,42,3.818182
1067,5.95763E+11,4,12,5957632,1,father,35,4,3,0,0,0,2,0,0,1,3,0.75,0,0,0,0.5,0,0,0.25,0.698413,0.75,3,16,4
1068,5.95763E+11,4,13,5957632,1,child,6,19,2,0,11,4,4,0,2,0,3,0.105263,0,0.578947,0.210526,0.210526,0,0.105263,0,0.795031,0.531856,11,64,3.368421
